Title,Brand,Reviews,Rating,Selling Price,Image URL,Product URL
"HUG 'n' FEEL SOFT TOYS Lion Soft Toy, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl/Boys, Toy Gift for Girls, Kids Toys for Boys/Girl, Miniso Soft Toys, Toys Gift Items (35cm Lion)",HUG,"34,312",4.0 out of 5 stars,349,https://m.media-amazon.com/images/I/61fwWottsML._AC_UL320_.jpg,
Webby Green Soft Dinosaur Plush Stuffed Toy 30cm,Webby,511,4.3 out of 5 stars,347,https://m.media-amazon.com/images/I/71vU7+DzWBL._AC_UL320_.jpg,
Webby Cute and Adorable Animal Soft Toys | Fashionable Fancy Stylish Accessories | Plush On-The-Go Stuffed Companion for Girls and Women,Webby,932,4.5 out of 5 stars,499,https://m.media-amazon.com/images/I/81jLaOQTINL._AC_UL320_.jpg,
"Storescent Baby Plushies, Blue Lovable Huggable Soft Toy, Hooded Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls - 35cm",Storescent,"1,540",4.1 out of 5 stars,485,https://m.media-amazon.com/images/I/612-NnCMoQL._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Teddy Bear Soft Toy (30 Cm, Blue)",HUG,"34,312",4.0 out of 5 stars,161,https://m.media-amazon.com/images/I/41NMHCwUZWL._AC_UL320_.jpg,
"Mirada Black Panda Soft Face Toy | Adorable Plush Animal for Kids, Toddlers, and Girls | Soft and Cuddly Stuffed Toy Birthday Gift - 25 cm",Mirada,25,4.4 out of 5 stars,299,https://m.media-amazon.com/images/I/71wwbOO6+oL._AC_UL320_.jpg,
Amazon Brand - Jam & Honey Brown Teddy 33 cm,Amazon,"13,373",4.4 out of 5 stars,335,https://m.media-amazon.com/images/I/81divbeXJIL._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable hugable Cute Giant Life Size Teddy Bear. (30cm Soft Toy, Avocado Panda)",HUG,"34,312",4.0 out of 5 stars,389,https://m.media-amazon.com/images/I/41GnHRki09L._AC_UL320_.jpg,
MGP Creation Colorful Caterpillar Soft Toy-55 cm,MGP,55,3.4 out of 5 stars,104,https://m.media-amazon.com/images/I/41LF6TOkLhL._AC_UL320_.jpg,
"Kidology Giant Fluffy Persian Cat Plush – Ultra-Soft Stuffed Animal for Kids & Adults – Cuddly White Cat Pillow Toy – Adorable Round Kitty Plush for Gifting, Home Decor, and Snuggling - 27cm",Kidology,111,3.9 out of 5 stars,479,https://m.media-amazon.com/images/I/61v9HZ1Rh3L._AC_UL320_.jpg,
"Goofy Tails Food Buddies Sandwich Plush Toy for Dogs and Puppies | Crinkle, Squeaky, Soft Pet Toy",Goofy,121,4.2 out of 5 stars,350,https://m.media-amazon.com/images/I/618kHJwPjEL._AC_UL320_.jpg,
SCOOBA Super Soft Flower Duck Stuffed Toy 25cm,SCOOBA,29,3.9 out of 5 stars,378,https://m.media-amazon.com/images/I/51nMPPw3OoL._AC_UL320_.jpg,
"Amazon Brand - Jam & Honey Teddy Bear, Cute, Plush/Soft Toy for Boys, Girls and Kids, Super-Soft, Safe, Great Birthday Gift (Multicoloured, 28 cm)",Amazon,"13,373",4.4 out of 5 stars,310,https://m.media-amazon.com/images/I/61eSyhivqBL._AC_UL320_.jpg,
SCOOBA Super Soft Sleeping Unicorn Soft Toy Medium Size 65cm Made in India,SCOOBA,511,4.2 out of 5 stars,663,https://m.media-amazon.com/images/I/41h6q4i0jKL._AC_UL320_.jpg,
"DearJoy Big Size Fibre Filled Stuffed Animal Elephant Soft Toy for Kids of Plush Hugging Soft Toy for Kids boy Girl Birthday Gift (60 cm, Pink Color)",DearJoy,"9,045",4.3 out of 5 stars,559,https://m.media-amazon.com/images/I/817GdY485zL._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Unicorn | Toy for Baby Girl Boy | Horse Toys for Kids Playing | Birthday Gifts for Boys and Girls | (30 Cms, Stuffed Animal Yellow, Smooth Cushion Material)",HUG,"34,312",4.0 out of 5 stars,161,https://m.media-amazon.com/images/I/51uBNkFxqSL._AC_UL320_.jpg,
"Niku 3 feet Teddy Bear Red Colour Soft Toy for Girls Kids Baby | Best Gift for Valentines, Birthday, Anniversary",Niku,"1,272",3.7 out of 5 stars,368,https://m.media-amazon.com/images/I/71i2SNyrt6L._AC_UL320_.jpg,
Mini Steps Ultra-Soft Unicorn Plush Toy for Kids | Washable & Non-Toxic Stuffed Animal for Babies & Toddlers | Cuddly Soft Toy Gift for Girls & Boys | Cute & Durable Unicorn Toy,Mini,M.R.P:,0,189,https://m.media-amazon.com/images/I/61bDbX15vDL._AC_UL320_.jpg,
Mirada Cute Coral Bunny Soft Toy for Girls/Kids | Huggable Rabbit with Long Ears | Soft Stuffed Floppy Plush Animal | - 35cm,Mirada,"1,690",4.5 out of 5 stars,659,https://m.media-amazon.com/images/I/71gPM2PUP5L._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable hugable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (25cm, Lion)",HUG,16,4.3 out of 5 stars,384,https://m.media-amazon.com/images/I/51CJI9e8D+L._AC_UL320_.jpg,
HUG 'n' FEEL SOFT TOYS Kangaroo Soft Toy|Baby Toys|Kids Toy|Soft Toy|Toy for Girl|Birthday Gift for Girl/Boys|Toy Gift for Girls|Kids Toys for Boys/Girl|Toys Gift Items (Kangaroo with Baby|30 Cm),HUG,"34,312",4.0 out of 5 stars,348,https://m.media-amazon.com/images/I/61ZRjla-HtL._AC_UL320_.jpg,
"Webby Soft Animal Plush Standing Dog Toy 20cm, Brown",Webby,43,4.3 out of 5 stars,219,https://m.media-amazon.com/images/I/71XrHYTAaNL._AC_UL320_.jpg,
Caterpillar Soft Toy for Kids | Plush Toy for Girls & Boys | Adorable Stuffed Animal for Play & Cuddles (55 cm),Caterpillar,9,3.8 out of 5 stars,279,https://m.media-amazon.com/images/I/6101EU8+dSL._AC_UL320_.jpg,
MGP Creation Soft Plush Toy/Soft Toy for Girls/Huggable Doll/Gift for Birthday Girl with Pink Blouse /36 cm,MGP,5,3.4 out of 5 stars,99,https://m.media-amazon.com/images/I/31kAdsFn87L._AC_UL320_.jpg,
"HUG 'n' FEEL SOFT TOYS Penguin Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Plush & Stuffed Toys",HUG,"34,312",4.0 out of 5 stars,164,https://m.media-amazon.com/images/I/51ad5VN1ZIS._AC_UL320_.jpg,
"Storio Soft Plush Giraffe Toy for Kids | Ultra-Soft Cuddly Stuffed Animal for Babies, Toddlers & Children | Cute Hugging Toy for Boys & Girls | Washable & Safe | Birthday Gift for 1-6 Year Old",Storio,18,4.6 out of 5 stars,279,https://m.media-amazon.com/images/I/61U7E5gTAmL._AC_UL320_.jpg,
"Storescent Baby Plushies, Blue Lovable Huggable Soft Toy, Big Size Hooded Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls - 35 cm",Storescent,"1,540",4.1 out of 5 stars,599,https://m.media-amazon.com/images/I/612-NnCMoQL._AC_UL320_.jpg,
Mirada Super Soft Standing Green and Yellow Dinosaur Soft Toy for Boys/Kids/Girls | Soft Stuffed Plush Animal | - 35cm,Mirada,517,4.5 out of 5 stars,791,https://m.media-amazon.com/images/I/61+G3n153hL._AC_UL320_.jpg,
Babique Ball Numeric Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm),Babique,"2,787",4.1 out of 5 stars,N/A,https://m.media-amazon.com/images/I/71k3-zL87vL._AC_UL320_.jpg,
Babique Penguin Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls 28 cm (Black),Babique,830,4.2 out of 5 stars,179,https://m.media-amazon.com/images/I/518GrVDJJqL._AC_UL320_.jpg,
"OLSIC Breathing Soft Teddy Bear Plush Sound Machine Baby Gift with Music, Lights & Breathing Motion Infant Toys for Newborns, Heart Beat Stuffed Animal Plush Cute Teddy Bear (Multicolor)",OLSIC,7,5.0 out of 5 stars,899,https://m.media-amazon.com/images/I/512cGrVqB0L._AC_UL320_.jpg,
"Mommers Xylophone Musical Educational Toy for Kid (1-3Year Old) I Toddlers Babies Kids Girls, Boys I 2-in-1 Piano Combined I Safe for Drum Sticks for Fast and Fun Learning for Kid- Pink",Mommers,341,4.0 out of 5 stars,199,https://m.media-amazon.com/images/I/71f7gG5WD0L._AC_UL320_.jpg,
Babique Penguin Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls 28 cm (Blue),Babique,"1,234",4.0 out of 5 stars,179,https://m.media-amazon.com/images/I/51k7+EgthdL._AC_UL320_.jpg,
Webby Plush Cute Crown Elephant Soft Toy for Kids - 20 CM,Webby,"5,909",4.4 out of 5 stars,207,https://m.media-amazon.com/images/I/81DfvN7xkGL._AC_UL320_.jpg,
"Calmaly Mart Cute Caterpillar Soft Toy for Kids Plush Stuffed Soft Plush Toy, Beautiful Soft Caterpillar Soft Toys for Kids (70 CM) (Multicolour)",Calmaly,5,4.3 out of 5 stars,176.,https://m.media-amazon.com/images/I/41PYB1xwDoL._AC_UL320_.jpg,
"DIKANG Unicorn Soft Toys for Kids | Kids Soft Toys for Baby Girl | Plush Soft Toys for Baby Boys and Girls | Unicorn Soft Toy for Kids (25CM, Yellow Unicorn)",DIKANG,705,4.2 out of 5 stars,199,https://m.media-amazon.com/images/I/51Hn5re1wpL._AC_UL320_.jpg,
"Kidology Baby Plush Toy with Music, Lights & Breathing Motion, Interactive Teddy Bear for Sensory Learning, Soft Stuffed Animal for Newborn Babies, Musical Toy Kids Valentine Gift for Her (Grey) – 30cm",Kidology,111,3.9 out of 5 stars,899,https://m.media-amazon.com/images/I/81iRpnyU8JL._AC_UL320_.jpg,
SCOOBA Soft Adorable Zeffy Doll 45cm - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play - 100% Safe for Kids (zeffy Doll-Pink),SCOOBA,206,4.0 out of 5 stars,568,https://m.media-amazon.com/images/I/41UyPjxcfxL._AC_UL320_.jpg,
Storescent Super Soft Avocado Cushion Stuffed Toy Cute Plush Animal Soft Toy for Kids (Avocado 35cm),Storescent,"1,540",4.1 out of 5 stars,367.,https://m.media-amazon.com/images/I/41TFpxuBMLL._AC_UL320_.jpg,
Mirada Cute Peach Bunny Soft Toy for Girls/Kids | Huggable Rabbit with Long Ears | Soft Stuffed Plush Animal | - 35cm,Mirada,"1,690",4.5 out of 5 stars,659,https://m.media-amazon.com/images/I/611IF26tznL._AC_UL320_.jpg,
